iter	Passed	Remaining
461	801	933
462	803	931
463	804	929
464	806	928
465	808	926
466	810	924
467	811	922
468	814	921
469	815	919
470	817	917
471	818	916
472	820	914
473	822	912
474	823	910
475	826	909
476	827	907
477	829	905
478	830	903
479	832	901
480	833	899
481	835	897
482	836	895
483	839	895
484	841	893
485	843	892
486	845	891
487	847	889
488	849	888
489	851	886
490	853	885
491	855	883
492	857	881
493	858	879
494	860	877
495	862	876
496	864	874
497	865	872
498	867	871
499	869	869
500	871	867
501	872	865
502	874	864
503	876	863
504	878	861
505	880	859
506	882	857
507	883	855
508	885	853
509	887	852
510	888	850
511	890	848
512	891	846
513	893	844
514	895	842
515	896	841
516	898	839
517	899	837
518	901	835
519	903	833
520	905	832
521	906	830
522	908	828
523	910	827
524	912	825
525	914	823
526	916	822
527	918	821
528	920	819
529	922	817
530	923	815
531	925	814
532	927	812
533	928	810
534	930	808
535	932	806
536	933	804
537	935	803
538	937	801
539	938	799
540	940	797
541	941	795
542	943	794
543	945	792
544	947	790
545	948	789
546	950	787
547	952	785
548	953	783
549	955	781
550	956	779
551	958	777
552	959	775
553	961	773
554	962	772
555	964	770
556	966	768
557	967	766
558	969	764
559	970	762
560	972	760
561	974	759
562	976	758
563	978	756
564	980	754
565	981	752
566	983	751
567	985	749
568	987	748
569	989	746
570	991	745
571	993	743
572	995	742
573	997	740
574	998	738
575	1000	736
576	1002	734
577	1004	733
578	1006	731
579	1008	730
580	1010	728
581	1012	727
582	1014	725
583	1016	723
584	1017	722
585	1019	720
586	1022	719
587	1023	717
588	1025	715
589	1026	713
590	1029	712
591	1031	710
592	1033	709
593	1034	707
594	1036	705
595	1038	703
596	1040	702
597	1042	701
598	1044	699
599	1046	697
600	1048	696
601	1050	694
602	1051	692
603	1053	690
604	1055	689
605	1057	687
606	1059	686
607	1061	684
608	1063	682
609	1065	681
610	1066	679
611	1068	677
612	1070	675
613	1072	674
614	1074	672
615	1076	670
616	1078	669
617	1080	667
618	1081	665
619	1083	664
620	1086	662
621	1087	661
622	1089	659
623	1091	657
624	1093	656
625	1095	654
626	1098	653
627	1099	651
628	1102	650
629	1103	648
630	1105	646
631	1107	644
632	1109	643
633	1110	641
634	1112	639
635	1114	637
636	1115	635
637	1117	634
638	1119	632
639	1120	630
640	1122	628
641	1124	627
642	1127	625
643	1129	624
644	1131	622
645	1133	621
646	1135	619
647	1137	617
648	1138	616
649	1140	614
650	1142	612
651	1144	610
652	1145	608
653	1147	607
654	1149	605
655	1150	603
656	1152	601
657	1154	600
658	1156	598
659	1157	596
660	1159	594
661	1161	592
662	1163	591
663	1164	589
664	1166	587
665	1168	585
666	1169	584
667	1171	582
668	1173	580
669	1174	578
670	1176	576
671	1178	575
672	1180	573
673	1181	571
674	1183	569
675	1184	567
676	1186	566
677	1187	564
678	1190	562
679	1191	560
680	1193	558
681	1194	557
682	1196	555
683	1197	553
684	1199	551
685	1200	549
686	1201	547
687	1203	545
688	1205	544
689	1207	542
690	1209	540
691	1210	538
692	1214	537
693	1215	535
694	1218	534
695	1219	532
696	1221	531
697	1223	529
698	1225	527
699	1227	526
700	1229	524
701	1231	522
702	1232	520
703	1234	519
704	1235	517
705	1237	515
706	1239	513
707	1240	511
708	1241	509
709	1243	507
710	1245	506
711	1246	504
712	1247	502
713	1249	500
714	1251	498
715	1253	497
716	1255	495
717	1257	494
718	1259	492
719	1260	490
720	1262	488
721	1264	486
722	1265	484
723	1267	483
724	1269	481
725	1270	479
726	1272	477
727	1273	475
728	1275	474
729	1277	472
730	1278	470
731	1280	468
732	1281	466
733	1282	464
734	1284	463
735	1285	461
736	1287	459
737	1289	457
738	1290	455
739	1291	453
740	1293	452
741	1294	450
742	1296	448
743	1297	446
744	1299	444
745	1301	443
746	1303	441
747	1304	439
748	1306	437
749	1307	435
750	1308	433
751	1310	432
752	1312	430
753	1314	428
754	1315	426
755	1317	425
756	1318	423
757	1319	421
758	1321	419
759	1322	417
760	1324	415
761	1325	414
762	1327	412
763	1328	410
764	1330	408
765	1331	406
766	1333	404
767	1334	403
768	1336	401
769	1337	399
770	1339	397
771	1340	395
772	1341	394
773	1343	392
774	1345	390
775	1346	388
776	1348	386
777	1349	385
778	1351	383
779	1353	381
780	1354	379
781	1356	378
782	1357	376
783	1359	374
784	1360	372
785	1362	370
786	1363	369
787	1365	367
788	1366	365
789	1368	363
790	1369	361
791	1371	360
792	1373	358
793	1374	356
794	1376	354
795	1378	353
796	1379	351
797	1381	349
798	1382	347
799	1384	346
800	1385	344
801	1387	342
802	1388	340
803	1390	338
804	1391	337
805	1393	335
806	1394	333
807	1396	331
808	1397	329
809	1399	328
810	1400	326
811	1402	324
812	1403	322
813	1405	321
814	1406	319
815	1407	317
816	1409	315
817	1410	313
818	1412	312
819	1413	310
820	1415	308
821	1416	306
822	1418	304
823	1419	303
824	1420	301
825	1422	299
826	1423	297
827	1425	296
828	1426	294
829	1427	292
830	1429	290
831	1430	288
832	1432	287
833	1433	285
834	1435	283
835	1436	281
836	1437	280
837	1439	278
838	1440	276
839	1442	274
840	1443	272
841	1445	271
842	1446	269
843	1448	267
844	1449	265
845	1451	264
846	1453	262
847	1454	260
848	1456	259
849	1457	257
850	1459	255
851	1461	253
852	1462	252
853	1463	250
854	1465	248
855	1466	246
856	1468	244
857	1469	243
858	1471	241
859	1472	239
860	1474	238
861	1476	236
862	1478	234
863	1480	233
864	1482	231
865	1483	229
866	1485	227
867	1487	226
868	1489	224
869	1490	222
870	1492	221
871	1494	219
872	1495	217
873	1498	216
874	1499	214
875	1501	212
876	1503	210
877	1505	209
878	1506	207
879	1508	205
880	1510	204
881	1512	202
882	1513	200
883	1514	198
884	1516	197
885	1517	195
886	1519	193
887	1520	191
888	1522	190
889	1524	188
890	1525	186
891	1527	184
892	1528	183
893	1530	181
894	1531	179
895	1533	177
896	1535	176
897	1536	174
898	1538	172
899	1539	171
900	1541	169
901	1542	167
902	1544	165
903	1545	164
904	1546	162
905	1548	160
906	1549	158
907	1551	157
908	1552	155
909	1554	153
910	1555	151
911	1557	150
912	1558	148
913	1572	147
914	1574	146
915	1575	144
916	1577	142
917	1578	141
918	1580	139
919	1581	137
920	1582	135
921	1584	134
922	1585	132
923	1587	130
924	1588	128
925	1590	127
926	1591	125
927	1592	123
928	1594	121
929	1595	120
930	1597	118
931	1598	116
932	1600	114
933	1601	113
934	1602	111
935	1604	109
936	1605	107
937	1607	106
938	1608	104
939	1610	102
940	1611	101
941	1612	99
942	1614	97
943	1615	95
944	1617	94
945	1619	92
946	1620	90
947	1621	88
948	1623	87
949	1624	85
950	1625	83
951	1627	82
952	1628	80
953	1630	78
954	1631	76
955	1632	75
956	1634	73
957	1635	71
958	1636	69
959	1638	68
960	1639	66
961	1640	64
962	1642	63
963	1643	61
964	1645	59
965	1646	57
966	1647	56
967	1649	54
968	1650	52
969	1651	51
970	1653	49
971	1654	47
972	1655	45
973	1657	44
974	1658	42
975	1659	40
976	1661	39
977	1662	37
978	1663	35
979	1665	33
980	1666	32
981	1668	30
982	1669	28
983	1671	27
984	1672	25
985	1673	23
986	1675	22
987	1676	20
988	1678	18
989	1679	16
990	1681	15
991	1682	13
992	1684	11
993	1685	10
994	1686	8
995	1688	6
996	1689	5
997	1690	3
998	1692	1
999	1693	0
